gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time,short_cell_type,seurat_clusters,short_cell_type_cluster
tmcc1b,20.583201993352915,2.9730016701010586,0.772563202534412,14.813299674491738,1.1869546090829206e-4,0.009229295838430122,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
tdo2b,8.276131019834487,-20.899096093691355,245.7729585805607,21.31260940455818,3.90156682969055e-6,5.922950025263558e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
arf4b,5.612408013527863,5.606955784272805,1.8414191662622295,14.011604103585686,1.8168590602719395e-4,0.012566940139312423,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
arf4a.1,9.470723589503416,3.4471170503804025,1.035960419135729,12.264824335534051,4.6157666616575e-4,0.021672213962713342,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
mat2aa,34.773235414916556,2.564245772333,0.6486604687360508,16.466954528488202,4.9505459099900065e-5,0.0047825273821358,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
rab6a,15.498533225903044,2.7828909640331854,0.8141091727439357,12.045137308142383,5.192766185396956e-4,0.023992084926152894,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
cyb5a,15.688430170035705,2.606716798949107,0.8016814447423107,10.897058083209835,9.631711204348253e-4,0.036124582728779095,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
klf6a,12.891854606283161,3.2803900298304947,0.9247649698442695,13.540913931063084,2.3341870160354007e-4,0.013780348531705292,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
klhl24b,7.061791154619703,-5.599186731021575,1.8081016807606733,10.946850487525097,9.376285676769014e-4,0.036013974382577855,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
vav3a,30.31486785008785,-5.253450940189675,1.0163915482327714,23.082508035904752,1.5519617833192606e-6,3.0922838532636266e-4,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
creb3l3a,28.403103953237444,2.5545937525103954,0.7012990263019927,14.053314720356248,1.7770034881863913e-4,0.012566940139312423,t4-120HF.t0-UF,EnteroAnte,46,EnteroAnte-2
